HS_Code,Year,Total_USD,China_USD,India_USD,ROW_USD,Share_China_pct,Share_India_pct,Share_ROW_pct,HHI
284390,2019,74804558,1637231,1701065,71466262,2.19,2.27,95.54,9137.3
284390,2020,102673807,979406,655657,101038744,0.95,0.64,98.41,9685.4
284390,2021,112966135,515682,1522896,110927557,0.46,1.35,98.2,9644.4
284390,2022,107334452,2289008,1681181,103364263,2.13,1.57,96.3,9280.9
284390,2023,147422418,3548149,1553106,142321163,2.41,1.05,96.54,9326.8
293359,2019,4496536622,137736831,48571688,4310228103,3.06,1.08,95.86,9199.0
293359,2020,5037540776,127129727,73834246,4836576803,2.52,1.47,96.01,9226.6
293359,2021,4336686993,153447491,95988334,4087251168,3.54,2.21,94.25,8900.1
293359,2022,5802360332,207835470,72033336,5522491526,3.58,1.24,95.18,9073.0
293359,2023,5086308285,120613549,96826868,4868867868,2.37,1.9,95.72,9172.5
